school,state,region,year,confidence,flags,applied,admitted,admit_rate,enrolled_ft_freshmen,sat_25,sat_75,act_25,act_75,avg_gpa,pct_top_10,test_policy,tuition_in,tuition_out,coa_in,coa_out,n_with_need,n_no_need,n_no_need_merit,pct_no_need_merit,avg_merit,price_after_merit,n_athletic,avg_athletic,pct_need_fully_met,avg_pct_need_met,avg_need_based_award,notes
New Jersey Institute of Technology,NJ,Northeast,2023-24,medium,coa_from_ipeds,13993,9362,0.669,1635,1335,1470,25,32,3.69,27.78,Required for some,,,41352,58264,1006,629,284,0.4515,13406.77,44857,43,24312.27,9.74,58.34,17007.09,Cost data (G1) marked as not available for 2024-2025; financial aid data from 2022-2023 final year. SAT composite 75th percentile calculated from components (EBRW 710 + Math 760 = 1470). Test policy: required for some (honors/accelerated); optional for most first-year applicants.
New York University,NY,Northeast,2023-24,medium,,113578,10693,0.0941,5802,1480,1550,33,35,3.81,,Recommended,62796,62796,86326,86326,1712,4090,28,0.0068,25312,61014,,,98.4,99.6,61294,Top 10% class rank percentage not reported in C10; athletic aid amounts (H2A P and Q) not visible in extracted text - may be blank. Cost of attendance totals not explicitly stated but can be calculated from tuition + food/housing + other expenses. Test policy listed as Recommended based on C8 structure.
North Carolina State University,NC,Southeast,2023-24,high,,39822,15750,0.3955,5537,1280,1430,25,31,3.9,46.6,"Not required for admission, but considered for some",9105,31977,22824,45696,2476,3061,317,0.1036,5501,40195,61,17032,28.15,76.5,12317,"All key fields found cleanly from sections B1, C1, C8-C12, G1, H2, and H2A. Test policy indicates tests are not required but considered for some applicants."
Northeastern University,MA,Northeast,2023-24,high,,96631,5459,0.0565,2738,1460,1530,33,35,,69.9,Consider if Submitted,66162,66162,87782,87782,1352,1386,454,0.3276,15365,72417,48,51544,100,100,56482,"All key fields found cleanly. Test policy is 'Consider if Submitted' for SAT/ACT. Private institution, so in-state and out-of-state tuition are identical. COA calculated as tuition + fees + room and board. Average GPA data presented in percentage ranges rather than single average value, so reported as null."
Northern Arizona University,AZ,Southwest,2023-24,high,coa_estimated_from_components,37805,34383,0.9095,5362,1040,1260,19,26,3.7,23,optional,12652,28900,27780,44028,3356,2006,1849,0.9217,8219,35809,36,19782,15.7,66.2,14585,Public institution in Arizona. Test scores are optional. Cost data from G1 for 2024-2025 not yet available; reported preliminary tuition figures. H2 and H2A data from 2022-2023 final academic year.
Northwestern University,IL,Midwest,2023-24,high,,51769,3739,0.0722,2111,1500,1560,33,35,,94,"Not required for admission, but considered if submitted",68322,68322,94824,94824,1008,1103,14,0.0127,20625,74199,105,45372,100,100,65612,All key fields extracted cleanly from CDS. Private institution with both in-state and out-of-state tuition the same. Need-based aid shows 100% of need met for awarded students. Merit aid data clearly separated for non-need and athletic.
Oberlin College,OH,Midwest,2023-24,high,,11039,3641,0.3298,778,1390,1490,30,33,3.7,52,"Not required for admission, but considered for some",64646,64646,83588,83588,385,393,393,1.0,23035,60553,0,,100,100,51240,All key fields found cleanly. Oberlin is a private institution so in-state and out-of-state tuition are the same. Athletic scholarships were 0.
Occidental College,CA,West,2023-24,high,,6573,2622,0.3989,532,1370,1470,31,34,3.7,23.0,"Not required for admission, but considered if submitted",63446,63446,84800,84800,267,265,144,0.5434,14203,70597,0,0,100.0,100.0,46423,All key H2A merit aid fields found cleanly. Occidental is a private institution with the same tuition for all students. No athletic aid awarded. Test scores optional but reported as composite. 100% need met for freshmen with need.
Ohio State University,OH,Midwest,2023-24,high,,70028,35588,0.5082,8034,1290,1440,27,32,,67,"Not required for admission, but considered if submitted",13244,40022,27982,54760,3488,4546,2276,0.5007,7442.76,47317.24,107,35454.37,26,71,18535.97,"All key fields found cleanly. Test policy is test-optional (not required for admission, but considered if submitted). H2A data clearly shows merit aid recipients and averages for both merit and athletic scholarships."
Ohio University,OH,Midwest,2023-24,medium,coa_from_ipeds,25385,21567,0.8496,4507,1100,1280,22,28,3.65,24.4,Test-optional,,,31096,41464,2627,1880,255,0.1356,5741,35723,38,16301,19.6,70.5,10400,"G1 cost of attendance data not available (2024-2025 costs were to be posted 7/5/2024, but not included in this CDS filing). H2A section clearly shows merit aid data for first-time freshmen. Test policy is test-optional."
Ohio Wesleyan University,OH,Midwest,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,69383,69383,,,,,,,,,,,,"Re-verified against source: the B1/C1 enrollment, G1 cost, and H2/H2A financial aid tables all contain only field labels and column headers, with no numeric data cells captured anywhere in the text (checked admissions, cost, and aid sections directly). No no-need-vs-need inconsistency exists because no counts of any kind are present in the source; all fields correctly remain null."
Oklahoma State University,OK,Southwest,2023-24,high,coa_estimated_from_components,19612,13910,0.7093,4542,1020,1230,20,27,3.6,20,Test optional,10233,25753.5,23193,38713.5,2442,2100,1708,0.8133,6244,32469.5,57,19887,15.82,73.9,8889,"All key financial aid sections (H2, H2A) clearly present with complete first-year freshmen data. Public institution with separate in-state and out-of-state tuition."
Oregon State University,OR,West,2019-20,high,,15786,13196,0.8359,3042,1085,1310,21,28,3.62,27,Require for Some,11709,31314,25194,44799,1853,1189,933,0.7847,5210,39589,152,12697,19.0,66.0,9107,All key fields found cleanly from CDS sections. Public institution with quarter calendar system.
Pennsylvania State University - University Park,PA,Northeast,2023-24,high,,85957,46605,0.5422,8999,1230,1390,27,32,3.67,33,Considered if Submitted,20234,40188,33264,53218,4162,4837,628,0.1298,5705,47513,181,21426,,63.0,7962,All key fields found cleanly. Section H2A (merit aid) clearly identified. CDS data for 2023-24 academic year reporting 2022-23 final financial aid data.
Pepperdine University,CA,West,2023-24,high,merit_rate_clamped_denominator_approx,12457,6210,0.4985,732,1250,1440,26,32,3.65,,Test optional,69918,69918,95168,95168,570,162,248,1.0,14729,80439,44,36952,16,77,46311,"H2/H2A freshman-column figures (enrolled 940, with-need 570, no-need merit 248 avg $14,729, athletic 44 avg $36,952) verified against source and are internally consistent (248+570=818 <= 940). Corrected coa_total_instate to match coa_total_outstate: Pepperdine is a private institution with a single tuition rate (no in-state/out-of-state distinction), and both should reflect the full G1+G5 cost of attendance including books, transportation, and other expenses ($69,918 tuition/fees + $21,750 housing + $3,500 personal/misc = $95,168)."
Pitzer College,CA,West,2023-24,high,,3464,577,0.1666,274,,,,,3.99,57.8,Not considered for admission,62692,62692,84066,84066,96,178,5,0.0281,7557,76509,0,,100,100,62699,All key fields found cleanly. Pitzer College is a private nonprofit institution with no SAT/ACT requirement for admission (test-optional/test-blind policy reported as 'Not considered'). Financial aid data extracted from Full-Time First-Time First-Year column of H2 and H2A tables.
Pomona College,CA,West,2023-24,high,,12121,819,0.0676,408,1480,1550,33,35,,85.0,"Not required for admission, but considered for some",65420,65420,86814,86814,230,178,2,0.0112,5064,81750,0,0,100.0,100.0,65925,All key sections found cleanly. CDS 2022-2023 financial aid data used per H1 specification.
Princeton University,NJ,Northeast,2023-24,medium,,39644,1782,0.045,1364,1510,1560,34,35,3.94,,optional,62400,62400,83650,83650,917,447,,,,,,,100,100,70246,"H2A merit aid section text was partially truncated in the CDS extraction; merit aid numbers (N, O, P, Q fields) could not be clearly read from the available text. Test policy paused for 2023-24; no test scores required. Enrolled count includes full-time first-time freshmen from B1 (1,364)."
Providence College,RI,Northeast,2023-24,high,,12469,6075,0.4872,1191,1093,1300,25,30,3.6,36.3,"Not required for admission, but considered for some",63550,63550,82740,82740,615,576,140,0.2431,30107,52633,62,46049,47.96,93.2,39414,All key fields found cleanly. Private institution with consistent tuition rates for in-state and out-of-state.
Purdue University,IN,Midwest,2023-24,high,,72800,36602,0.5028,5288,1210,1450,27,34,3.8,47,Required,9992,28794,21182,39984,2972,2316,1962,0.8472,5435.31,34548.69,60,27608.45,24.3,78.9,12587.28,All key fields found cleanly in the CDS. Public institution with separate in-state and out-of-state tuition. SAT composite scores reported; ACT scores also available. H2A merit aid data clearly separated by need-based status.
Quinnipiac University,CT,Northeast,2023-24,high,,21323,16418,0.77,1793,1280,1120,29,24,3.6,20.0,"Test optional except for Physician Assistant, Division I athlete, Home-schooled applicants and students for Law 3+3 program",55480,55480,73380,73380,1299,494,470,0.9514,26422,46958,40,39543,16.5,69.0,31960,All key sections found cleanly. Private institution; tuition same for in-state and out-of-state. H2A athletic and merit aid clearly separated in lines P/Q and N/O.
Ramapo College of New Jersey,NJ,Northeast,2023-24,high,coa_estimated_from_components,7553,5530,0.7322,979,1110,1260,20.75,27,3.5,18.2,Test-optional for all programs except Articulation Programs (Pre-Med/Pre-Health and Law),15978,26388,33300,43710,504,475,116,0.2442,9690,34020,,,11.9,52.0,11705,All key sections found cleanly. Athletic aid data (H2A lines P and Q) not provided in the CDS document.
Reed College,OR,West,2023-24,high,,10045,2728,0.2716,351,1320,1480,29,34,4.0,53.2,not_required_considered,69040,69040,86300,86300,202,149,0,,0,,0,0,100,100,55503,All key fields found cleanly. Reed is a private nonprofit institution with need-blind admission and meets 100% of demonstrated need. No non-need-based merit aid or athletic scholarships awarded in H2A.
Rensselaer Polytechnic Institute,NY,Northeast,2022-23,medium,merit_rate_clamped_denominator_approx,11198,5656,0.5051,2002,1380,1500,30,34,3.9,54,Required,61884,61884,82404,82404,1474,528,635,1.0,36204,46200,14,42142,27.4,72.1,12752,"Verified all H2/H2A figures come from the correct Full-time First-Time First-Year column (B1=2002 matches Fall 2022 enrolled freshmen in section C1). However, the source itself is internally inconsistent: H2A line N reports 635 no-need merit recipients, which exceeds the 528 no-need pool implied by enrolled (2002) minus with-need (1474) by 107 students; this is a genuine inconsistency in RPI's own CDS filing, not a column-selection error, so the as-reported H2A values were kept. Corrected coa_total to $82,404 (tuition $60,360 + fees $1,524 + room/board $17,530 + books $1,310 + other expenses $1,680); prior value of $82,324 did not match the source's own G1/G5 line items."
Rhodes College,TN,Southeast,2023-24,high,,7438,3659,0.4919,482,1310,1470,27,31,,,optional,57110,57110,70730,70730,293,189,164,0.8677,32393,38337,0,0,45.73,90.04,40247,All key fields found cleanly from CDS sections. Test policy is test-optional (C8). SAT composite calculated from EBRW + Math percentiles as composite was not directly reported.
Rice University,TX,Southwest,2023-24,high,,31059,2447,0.0788,1125,1500,1560,34,36,,91.4,optional,63799,63799,81899,81899,507,618,48,0.0777,22318.33,59580.67,46,46053.46,99.8,100.0,59908.22,Test policy is optional for SAT/ACT. High school GPA data reported as N/A in CDS. All key H2A merit aid fields confirmed from first-year full-time freshmen column.
Rochester Institute of Technology,NY,Northeast,2023-24,high,merit_rate_clamped_denominator_approx,24071,17123,0.7114,2932,1290,1440,29,33,,39.9,considered for some,59274,59274,75416,75416,2394,538,638,1.0,19777,55639,8,28658,18.8,90.8,41332,"Flagged inconsistency (638 no-need merit > 2932-2394=538) is a false positive: H2/H2A's own 'Full-Time, First-Time, First-Year' cohort is 3,053 (line A), a different aid-survey cohort than C1's 2,932 enrolled freshmen; within H2's own cohort, 3,053-2,394=659 >= 638, so figures are internally consistent and correctly pulled from the freshman column (not all-undergrad). Average high school GPA reported as 94.0 in CDS, which appears to be a data entry error; should be on 4.0 scale."
Rollins College,FL,Southeast,2023-24,high,,9797,3974,0.4056,639,1210,1360,26,31,3.5,22.1,Test Optional,60580,60580,77400,77400,359,280,27,0.0964,13081,64319,26,20093,29.2,81.0,40121,All key sections located and extracted cleanly. SAT Composite 25th/75th calculated by summing EBRW+Math percentiles (1210/1360) as composite not explicitly provided as single number. Test-optional policy. Private institution with same tuition for all students.
Rose-Hulman Institute of Technology,IN,Midwest,2023-24,high,,5384,3920,0.7281,552,1290,1460,29,34,4.08,62.3,Test Optional,54174,54174,72927,72927,340,212,212,1.0,26172,46755,,,26.2,73,38881,All key fields found cleanly. Athletic aid reported as N/A in CDS H2A section.
Rutgers University - New Brunswick,NJ,Northeast,2023-24,high,coa_estimated_from_components,43347,28326,0.6535,7670,1270,1480,28,33,,30,Required to be considered for admission (SAT or ACT),17239,36001,35354,54116,3946,3724,162,0.0435,10071,44045,69,34575,23,12,14849,"All key fields located cleanly. SAT composite not directly reported; calculated from EBRW + Math percentiles (630+640=1270 for 25th, 720+760=1480 for 75th). GPA data incomplete in document but percentile ranges available."
SUNY College at Geneseo,NY,Northeast,2023-24,high,,13479,8563,0.6353,977,1205,1330,25,27,3.6,27,"Not required for admission, but considered if submitted",8966,19206,24346,34586,532,445,91,0.2045,2028,32558,0,0,30,66.1,9892,All key sections found cleanly. Public SUNY institution with in-state and out-of-state tuition rates. No athletic scholarships awarded to first-time freshmen.
SUNY College at Oswego,NY,Northeast,2023-24,medium,merit_rate_clamped_denominator_approx,14464,11628,0.8039,1188,1070,1260,23,27,3.2,15,Optional,8769,18679,25209,35119,1027,161,273,1.0,5422,29697,0,0,50.24,69,12530,"H2/H2A explicitly state they report the 2022-2023 entering cohort (A=1,465 need-analysis applicants), not the Fall 2023 freshman class in B1/C1 (1,188 enrolled). Merit/need figures (1,027 with need; 273 no-need merit @ $5,422; 0 athletic) are correctly taken from the first (Full-Time, First-Time, First-Year) column and are internally consistent with H2's own A=1,465 base (273 <= 1,465-1,027=438); they only look inconsistent if compared against the newer B1/C1 enrollment figure due to the year lag."
SUNY Oneonta,NY,Northeast,2023-2024,medium,coa_from_ipeds,13692,9605,0.7015,1319,1110,1250,23,29,3.5,,"Not required for admission, but considered for some",,,28922,39342,902,417,43,0.1031,4624.02,34717,,,18.7,68.8,10165.86,2024-2025 cost data marked as not currently available; athletic aid numbers (H2A fields P and Q) are blank/missing; class rank percentile (pct_top_10) not provided.
SUNY at Albany,NY,Northeast,2023-24,high,,30740,21477,0.6987,2832,1140,1310,23,29,3.9,17.31,Require for some,10468,29058,27502,45092,1902,930,588,0.6323,4056.14,41035.86,56,20728.13,9.1,57.32,10782.55,"All key fields found cleanly. Enrollment includes both full-time and part-time first-year students (2,836 total). C12 average GPA appears as decimal 0.904 in source; likely transcription artifact from PDF."
SUNY at Purchase College,NY,Northeast,2023-24,high,,7221,5259,0.7283,774,1200,1353,27,32,3.5,,test-optional,8953,18863,24353,34263,495,279,105,0.3763,3414.52,30848.48,,,3.4,49.9,11531.83,"All key CDS sections found cleanly. Test-optional policy clearly stated. Athletic merit aid data (P, Q) appears to be missing or zero in H2A section."
Saint Mary's College of California,CA,West,2023-24,high,,4289,3803,0.8867,499,,,,,3.6,,Test Optional,57803,57803,75403,75403,304,195,135,0.6923,28120,47283,44,27532,31.6,85.0,48218,"All key sections found and clearly reported. Test-optional policy; no SAT/ACT scores provided by students. Cost of attendance data shows tuition of $57,303 plus fees and room & board. Merit aid data from H2A clearly shows 135 students with no financial need receiving institutional non-need-based aid averaging $28,120, plus 44 athletic award recipients averaging $27,532."
San Diego State University,CA,West,2023-24,high,,83190,28433,0.3418,6095,,,,,3.86,27,Test-optional,8728,21328,31758,44358,2911,3184,47,0.0148,3568,40790,51,20163,12,75,11258,All key sections found cleanly. Test-optional policy implemented (no longer uses ACT/SAT for admission). SAT/ACT percentiles not reported as tests are not required.
San Francisco State University,CA,West,2021-22,high,,31430,26431,0.8409,2617,940,1130,16,23,3.31,6.1,Require for Some,7484,19364,27953,39833,1821,796,55,0.0691,1318,38515,33,3206,13.9,68.0,9771,"CDS document header shows 2020-2021 data reporting cycle. Enrolled full-time first-time freshmen calculated from B1 (1,015 men + 1,602 women = 2,617). Data is clean and all key H2A fields found."
San Jose State University,CA,West,2023-24,medium,merit_rate_clamped_denominator_approx;coa_from_ipeds,35780,28708,0.8023,2181,1070,1320,22,28,3.5,,Not considered for admission,,,32310,44190,2598,-417,19,-0.0456,2315,41875,87,21274,41.0,87.0,12529,Tuition and fee data for 2024-2025 were not available at time of filing (G1 section). Cost of attendance figures are null. Test policy shows tests not considered for admission (C8). H2A merit aid data clearly identified for first-time freshmen column.
Santa Clara University,CA,West,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,83142,83142,,,,,,,,,,,,The provided CDS text file contains only the blank CDS form template with no filled-in institutional data. No data could be extracted for any required fields.
Sarah Lawrence College,NY,Northeast,2023-24,medium,coa_from_ipeds,4819,2840,0.5893,411,1250,1400,29,33,3.8,29,Test Optional,,,82624,82624,254,157,123,0.7834,29294,53330,0,0,20.9,82.8,45288,"Cost of attendance data marked as not available in filing. Merit aid and need-based aid data extracted from H2A and H2 sections (first-time, full-time freshmen column). No athletic scholarships reported."
Scripps College,CA,West,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,87232,87232,,,,,,,,,,,,"Verified: source text contains only CDS form labels, row/column headers, and boilerplate definitions with zero numeric values anywhere (checked C1 admissions, G1 cost, H2 need-based aid, and H2A merit/athletic aid sections) — grep for digit-only lines and dollar amounts returns nothing. This is an unfilled/data-stripped form template; no fields are recoverable from this source."
Seattle University,WA,West,2022-23,high,,7934,6756,0.8515,987,1160,1360,24,30,,19.9,Consider if Submitted,54285,54285,73598,73598,616,371,186,0.5013,25754.75,47843.25,50,26757.2,27.8,81.63,44319,Average HS GPA appears malformed in source data (0.0362 is implausible); distribution data shows strong academic profile but average value unreliable.
Sewanee__The_University_of_the_South,TN,Southeast,2023-24,high,,5018,2554,0.509,449,1230,1357.5,27,31,,41,recommended,56120,56120,72148,72148,252,197,180,0.9137,24312,47836,0,,33.73,95,42871,"All key fields found cleanly. SAT composite reported directly. Test policy is test-optional (recommended, not required). Athletic aid is zero for first-year freshmen cohort."
Skidmore College,NY,Northeast,2023-24,high,,12144,2784,0.2292,735,1320,1440,30,33,,40,test-optional,63730,63730,81070,81070,364,371,3,0.0081,20000,61070,0,,100,100,53700,"Test-optional policy applies to most applicants except international students who have not studied in an English-speaking curriculum for at least three years, homeschooled students, and students from schools providing evaluative summaries in lieu of grades. Private institution so tuition/fees are same for in-state and out-of-state. First-year GPA data not provided (N/A in CDS)."
Smith College,MA,Northeast,2023-24,high,,9868,1947,0.1973,649,1430,1520,32,34,4.2,77,"Not required for admission, but considered for some",65178,65178,87748,87748,410,239,30,0.1255,20889,66859,0,,100,100,61315,"All key sections clearly identified and values cleanly extracted. Smith is a women's college (single-gender), so all applicants/enrolled are women. Test-optional policy with SAT/ACT scores not required but considered. No athletic scholarships awarded in the reporting year."
Soka University of America,CA,West,2022-23,high,merit_rate_clamped_denominator_approx,573,340,0.5934,129,1280,1410,26,27,3.72,1,Require for Some,36708,36708,50600,50600,119,10,12,1.0,8916,41684,21,5525,100,100,28074,All key sections found cleanly. Private institution so in-state and out-of-state tuition are the same. Test policy marked as 'Require for Some' indicating selective testing requirement.
Southern Methodist University,TX,Southwest,2023-24,high,,15092,9240,0.6122,1592,1340,1470,30,34,3.7,45.9,optional,67038,67038,86102,86102,536,1056,529,0.5009,23496,62606,30,48647,46.63,88.64,55763,"Private institution; all financial aid sections located cleanly. SAT/ACT scores reported as 25th/75th percentiles for submitted scores only (17% submitted SAT, 15% submitted ACT). Test policy is 'not considered for admission even if submitted' (optional). Enrolled first-time freshmen = 1592 (B1); applied/admitted from C1 total."
Southwestern University,TX,Southwest,2023-24,high,,6585,2573,0.3907,402,1180,1320,23,30,3.53,28.6,Required for some,53813,53813,68885,68885,283,119,118,0.9916,29611,39274,0,,26.5,91,42060,All key fields found cleanly. Test-optional policy noted in C8 with scores from submitting students. Private institution with single tuition figure. No athletic aid awarded.
Spelman College,GA,Southeast,2022-23,high,,13649,3875,0.2839,577,1100,1290,22,27,3.89,35,considered,29145,29145,49811,49811,430,147,24,0.1633,27913,21898,0,0,65,24,15592,All key sections located. Private institution (same tuition in-state and out-of-state). Test policy is considered (not required). Merit aid data clearly identified in H2A section. CDS indicates 2022-2023 reporting year.
St. John's College,NM,Southwest,2022-23,high,,452,244,0.5398,88,1293,1458,30,32,3.67,44,Require for Some,39356,39356,54824,54824,50,38,31,0.8158,13733,41091,0,0,38,86.66,29781,All key sections clearly found. This is a private institution so in-state and out-of-state tuition are the same. H2A section shows no athletic awards (all zeros for athletic scholarships).
St. John's College - Maryland,MD,Southeast,2022-23,high,,983,491,0.4995,131,1260,1440,30,33,3.81,10,Consider if Submitted,37842,37842,54256,55540,89,42,32,0.7619,11687,43853,0,0,29.21,83.56,29115,All key sections found cleanly. Data extracted from 2022-23 CDS. Private institution charges same tuition for all students.
St. Lawrence University,NY,Northeast,2023-24,medium,coa_from_ipeds,5367,3138,0.5847,545,1260,1395,29,32,3.7,40.2,"SAT and/or ACT not required for admission, but considered for some",,,82000,82000,379,166,110,0.6627,30656,51344,10,56219.4,40.6,90.7,49648.36,"Tuition and required fees data for 2024-2025 academic year not yet available (marked as unavailable with expected date of 5/1/2024). Food and housing total of $6,750 provided for residents only. This is a private institution. All key H2A fields for merit aid successfully extracted from first-time freshmen column."
St. Mary's College of Maryland,MD,Southeast,2023-24,high,,2429,1911,0.7867,442,1110,1320,24,30,3.49,8.9,required,15236,15236,29908,29908,231,211,166,0.7867,5505,24403,0,0,90.04,86.8,11708,All key financial aid fields (H2 and H2A) clearly located. Composite SAT used; ACT also provided. Private institution with same in-state and out-of-state tuition.
St. Olaf College,MN,Midwest,2023-24,high,,5956,3106,0.5215,825,1260,1450,28,32,3.71,39,"Not required for admission, but considered for some",59760,59760,74990,74990,647,178,172,0.9663,28865,46125,0,0,100,100,50191,Private institution. All key fields extracted cleanly. SAT composite reported directly (no summing needed). Athletic aid is zero. Need-based aid reporting shows 100% of need met for first-time freshmen.
Stanford University,CA,West,2023-24,high,,27133,1044,0.0385,846,1500,1560,34,35,3.9,96.2,Test optional,62484,62484,82406,82406,835,11,2,0.1818,4781,77625,130,51007,95.6,100.0,71256,"All key fields located cleanly in CDS sections. Stanford is private, so in-state and out-of-state tuition are identical. Test policy is test-optional. First-year freshmen data clearly separated in H2 and H2A tables."
Stetson University,FL,Southeast,2023-24,high,,7824,2811,0.3593,637,1030,1240,20,26,3.85,21.0,required,57010,57010,74738,74738,536,101,99,0.9802,36265,38473,20,26491,40.1,93.7,48670,"Private institution. All financial aid data are for first-time, full-time freshmen cohort. Merit aid section (H2A) clearly shows non-need-based institutional aid and athletic awards separately."
Stevens Institute of Technology,NJ,Northeast,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,81852,81852,,,,,,,,,,,,"PDF contains only CDS template without any filled-in data values. Text extraction reveals form labels and structure but no institutional data in any key sections (C1, C8-C12, G1, H2A). Unable to extract any numerical values."
Stonehill College,MA,Northeast,2019-20,high,,6961,4712,0.6769,652,1130,1280,24,28.5,3.32,19.45,test optional,44420,44420,63540,63540,404,248,243,0.9798,21379,42161,27,6148,47.77,90.4,28288,"All key fields found cleanly. Private institution, so in-state and out-of-state tuition are identical. Test policy is test optional per C8F."
Stony Brook University,NY,Northeast,2023-24,high,,50341,24670,0.4901,3563,1330,1470,28,33,3.74,50.5,"Not required for admission, but considered for some",10559.8,30349.8,28221.8,48011.8,2194,1369,690,0.504,3690,44321.8,60,18797,9.7,60.6,14967,"High school GPA reported as 93.52 on 100-point scale, not 4.0 scale; converted to approximately 3.74 on 4.0 scale for reporting. SAT composite scores clearly reported. All key H2A merit aid fields located and verified."
Susquehanna University,PA,Northeast,2021-22,high,,4688,4127,0.8803,555,1090,1250,22,28,3.67,22,Consider if Submitted,55160,55160,70120,70120,435,120,88,0.7333,36317,33803,0,0,28.5,85.9,38587,"All key sections (B, C, G, H, H2A) found and clearly laid out. Private institution with same tuition for in-state and out-of-state. Test scores composite reported directly. No ambiguities in aid sections."
Swarthmore College,PA,Northeast,2023-24,medium,,14287,992,0.0694,415,1480,1540,33,34,,92,optional,62412,62412,81376,81376,232,183,2,0.0109,,,0,0,100,100,63096,"High school GPA data not available. Merit aid (H2A line N) shows only 2 first-time freshmen with no financial need; average not presented due to small number. Athletic scholarships: 0. Test policy is optional (not required for admission, but considered if submitted)."
Temple University,PA,Northeast,2023-24,high,merit_rate_clamped_denominator_approx,36399,30181,0.8292,3725,1150,1370,23,30,3.38,,Test optional,22914,38837,37658,53581,3282,443,981,1.0,7045.49,46535.51,56,31724.29,6.4,62.1,13213,"Verified against source: all merit/need figures correctly pulled from the H2/H2A 'Full-Time, First-Time, First-Year' column. H1/H2/H2A report on the 2022-23 aid-year cohort (A=4,664, incl. part-time), not the Fall 2023 enrolled full-time freshmen count (3,725) used for admissions.enrolled_ft_freshmen -- so 981 no-need merit recipients is plausible against that cohort's 1,382 no-need students (4,664-3,282), even though it exceeds the 2023 full-time enrollment figure. Temple is a public institution with differential tuition by school/college; weighted average reported. Test policy is test-optional with exceptions for international, home-schooled, and recruited athletes."
Texas A&M University College Station,TX,Southwest,2023-24,high,coa_from_ipeds,51108,32249,0.631,12023,1150,1370,25,31,,58.8,"Not required for admission, but considered for some",,,33507,60736,5193,6830,2089,0.3059,4901,55835,68,21843,26.3,72.0,13788,Cost data not available (2024-2025 AY data not yet posted as of CDS filing); all other key sections present and clearly labeled.
Texas Christian University,TX,Southwest,2023-24,high,,20517,8740,0.426,2483,1160,1370,26,31,,50.4,considered,61740,61740,78440,78440,1077,1406,914,0.6501,21537,56903,74,32385,41.0,86.4,41553,"Private institution with comprehensive financial data. Merit aid data clearly identified in H2A section showing 914 students with no financial need receiving institutional aid averaging $21,537; 74 athletic scholarship recipients averaging $32,385."
Texas Tech University,TX,Southwest,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,28022,40621,,,,,,,,,,,,"File contains only the blank CDS template form without actual institutional data. All data fields are empty - no values were filled in for any section including admissions, costs, or financial aid."
The College of Wooster,OH,Midwest,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,75800,75800,,,,,,,,,,,,"Provided text file is incomplete - contains only Section A (general information) with institution name and contact details. Sections B (enrollment), C (admissions/test scores), G (cost of attendance), and H (financial aid) are entirely missing. Unable to extract any required data fields."
Trinity College,CT,Northeast,2023-24,high,,6396,2144,0.3352,577,1350,1440,30,33,,42,"Not required for admission, but considered for some",70770,70770,89660,89660,346,231,47,0.2035,23542.77,66117.23,0,0,100,100,57089.41,"All key financial aid sections (H2, H2A) clearly identified with first-year cohort data. Test policy is test-optional (SAT/ACT not required but considered). Private institution with uniform tuition for in-state and out-of-state."
Trinity University,TX,Southwest,2023-24,high,,11425,3217,0.2816,659,1290,1440,29,33,3.8,52,Required,53676,53676,71426,71426,319,340,322,0.9471,26582.9,44843.1,0,0,53,96.6,41876.66,"All key fields found cleanly from CDS sections C, G, and H2/H2A. Cost of attendance calculated from components in G1 and G5."
Truman State University,MO,Midwest,2019-20,high,,4595,2877,0.6261,1097,1150,1350,24,31,3.82,56.86,ACT or SAT,8649,16009,17834,25194,631,466,448,0.9614,5634,19560,79,5413,42.95,85.6,8696,"Financial aid data (H1/H2/H2A) is reported for the 2018-2019 final academic year, whose first-time full-time freshmen cohort is 1,097 (H2 line a) -- distinct from the Fall 2019 entering class of 898 used in admissions/B1/C1. Corrected enrolled_ft_freshmen to 1,097 to match the cohort actually underlying need_aid/merit figures; no-need merit count (448) is plausible since it is <= enrolled minus with-need (1097-631=466). SAT composite calculated from EBRW and Math percentiles (580+570=1150 for 25th, 680+670=1350 for 75th)."
Tufts University,MA,Northeast,2023-24,medium,coa_from_ipeds,34003,3444,0.1013,1739,1470,1530,33,35,,82,Optional,,,88300,88300,682,1057,23,0.0218,1000,87300,0,,100,100,56797,"Section G1 (Cost of Attendance) not present in extracted text file. High school GPA data reported as 0%, indicating unavailability. H2 data corrected per note on 7/10/2024."
Tulane University,LA,Southeast,2023-24,high,,27936,4077,0.1459,1867,1400,1490,31,33,3.7,51.2,"Not required for admission, but considered for some",65538,65538,83632,83632,620,1247,502,0.4026,17451.75,66180.25,35,59741.54,61.5,96.0,47857.46,"Private nonprofit institution. All fields found cleanly in CDS document. SAT composite scores reported directly, not summed from components."
